finess;tx_brut_ete;tx_brut_dc;nb_sej;tx_brut_moy_nat
10008407;0;8.695652174;115;17.95207
10780054;2.976190476;5.952380952;336;17.95207
10780062;0;19.41747573;103;17.95207
10780195;54.20054201;18.9701897;369;17.95207
10780203;86.02150538;43.01075269;93;17.95207
20000063;28.93890675;0;311;17.95207
20000253;5.235602094;5.235602094;191;17.95207
20000261;4.694835681;4.694835681;213;17.95207
20000287;40;80;50;17.95207
20000360;11.17318436;0;179;17.95207
20004404;24.19354839;16.12903226;124;17.95207
20010047;3.25732899;3.25732899;307;17.95207
30780092;6.024096386;6.024096386;166;17.95207
30780100;0;11.83431953;169;17.95207
30780118;2.69541779;8.086253369;371;17.95207
30780548;12.5;6.25;160;17.95207
30781116;13.48314607;4.494382022;445;17.95207
30785430;2.34741784;0;426;17.95207
40780215;0;12.42236025;161;17.95207
40780470;0;0;97;17.95207
40788879;12.04819277;8.032128514;249;17.95207
50000090;103.7234043;0;376;17.95207
50000116;0;0;52;17.95207
50002948;0;5.025125628;199;17.95207
60021417;0;0;28;17.95207
60780491;0;7.692307692;130;17.95207
60780517;1.841620626;3.683241252;543;17.95207
60780590;6.329113924;0;158;17.95207
60780665;11.76470588;0;85;17.95207
60780715;14.16765053;5.903187721;847;17.95207
60780723;0;14.38848921;139;17.95207
60780897;6.097560976;6.097560976;164;17.95207
60780954;0;8.130081301;246;17.95207
60780988;0;20;250;17.95207
60781200;0;4.784688995;209;17.95207
60785011;2.430133657;8.505467801;823;17.95207
60791761;0;24;125;17.95207
60800166;5.865102639;0;341;17.95207
70002878;46.15384615;0;65;17.95207
70005566;0;0;133;17.95207
70780168;0;0;161;17.95207
70780358;9.433962264;47.16981132;106;17.95207
70780408;17.09401709;0;117;17.95207
70780424;3.514938489;1.757469244;569;17.95207
80000037;28.57142857;0;35;17.95207
80000615;112.7819549;0;133;17.95207
80001969;0;41.66666667;24;17.95207
80010267;84.18367347;2.551020408;392;17.95207
90781774;82.80254777;6.369426752;314;17.95207
90781816;0;9.803921569;102;17.95207
100000017;5.347593583;21.39037433;187;17.95207
100000082;0;0;165;17.95207
100000124;7.083825266;0;847;17.95207
100002351;30.76923077;0;65;17.95207
110780061;7.722007722;19.30501931;259;17.95207
110780137;7.894736842;5.263157895;380;17.95207
110780228;6.134969325;0;163;17.95207
110780483;0;9.230769231;325;17.95207
120004528;0;8.968609865;223;17.95207
120780044;14.03508772;17.54385965;285;17.95207
120780069;0;5.263157895;190;17.95207
120780085;0;17.85714286;56;17.95207
130008253;0;5.847953216;171;17.95207
130037922;76.30522088;10.04016064;498;17.95207
130041916;2.557544757;28.13299233;391;17.95207
130043664;27.02702703;18.01801802;111;17.95207
130780521;17.54385965;26.31578947;114;17.95207
130781289;0;0;103;17.95207
130781370;2.865329513;5.730659026;349;17.95207
130781446;0;17.96407186;167;17.95207
130781479;2.506265664;10.02506266;399;17.95207
130781867;0;0;128;17.95207
130782071;31.64556962;12.65822785;158;17.95207
130782147;16.39344262;0;122;17.95207
130782162;14.92537313;0;67;17.95207
130782634;18.69158879;0;107;17.95207
130782675;18.86792453;18.86792453;53;17.95207
130783236;6.849315068;6.849315068;292;17.95207
130783293;0;0;2;17.95207
130783327;0;47.61904762;21;17.95207
130783665;27.02702703;13.51351351;74;17.95207
130783723;9.090909091;0;770;17.95207
130784051;0;0;8;17.95207
130784234;13.42281879;1.342281879;745;17.95207
130784713;31.74603175;15.87301587;189;17.95207
130785355;26.54867257;0;113;17.95207
130785363;0;10.63829787;94;17.95207
130785389;0;7.662835249;261;17.95207
130785512;10.86956522;21.73913043;92;17.95207
130785652;35.34303534;20.79002079;481;17.95207
130785678;32.25806452;32.25806452;62;17.95207
130786361;12.65822785;18.98734177;316;17.95207
130786742;0;6.993006993;143;17.95207
130789274;0;17.24137931;58;17.95207
130789316;0;24.69135802;81;17.95207
130804297;0;0;2;17.95207
130810740;0;3.311258278;302;17.95207
140000035;0;6.849315068;146;17.95207
140000092;0;10.63829787;94;17.95207
140000100;141.955836;4.731861199;634;17.95207
140000118;0;0;128;17.95207
140000290;4.88997555;0;409;17.95207
140016759;112.033195;0;482;17.95207
140017237;50.23364486;1.168224299;856;17.95207
140018730;0;0;169;17.95207
140026709;0;0;120;17.95207
150780088;0;28.57142857;105;17.95207
150780096;0;23.80952381;84;17.95207
150780732;4.958677686;6.611570248;605;17.95207
160000170;0;4.081632653;490;17.95207
160000279;5.524861878;5.524861878;181;17.95207
160000451;0;19.10828025;314;17.95207
160013207;2.188183807;0;457;17.95207
160014411;0;0;1;17.95207
170023279;5.633802817;14.08450704;355;17.95207
170780050;14.49275362;14.49275362;69;17.95207
170780167;0;0;32;17.95207
170780175;7.142857143;21.42857143;140;17.95207
170780225;15.70680628;0;191;17.95207
170780563;0;5.882352941;340;17.95207
170780613;0;0;257;17.95207
170780621;4.694835681;18.77934272;213;17.95207
170780647;0;0;319;17.95207
170780662;34.72222222;0;576;17.95207
180000028;4.273504274;12.82051282;234;17.95207
180000051;16.94915254;67.79661017;59;17.95207
180000358;0;5.025125628;199;17.95207
180004145;10.16260163;2.032520325;492;17.95207
190000042;12.34567901;12.34567901;162;17.95207
190000059;0;43.95604396;91;17.95207
190000075;0;0;83;17.95207
190000224;4.136504654;3.10237849;967;17.95207
200200145;0;12.5;80;17.95207
210006318;0;0;21;17.95207
210011847;0;0;46;17.95207
210780110;22.47191011;11.23595506;89;17.95207
210780136;15.73033708;8.988764045;445;17.95207
210780581;14.08450704;18.10865191;497;17.95207
210780706;23.80952381;7.936507937;252;17.95207
210780714;23.16602317;7.722007722;259;17.95207
210780789;13.79310345;6.896551724;145;17.95207
210780979;4;4;250;17.95207
220000020;3.378378378;33.78378378;296;17.95207
220000046;0;0;1;17.95207
220000079;0;0;208;17.95207
220000103;15.87301587;15.87301587;189;17.95207
220000111;0;0;433;17.95207
220000285;7.656967841;1.531393568;653;17.95207
220000301;0;0;3;17.95207
220005599;0;11.11111111;180;17.95207
230780041;12.98701299;34.63203463;231;17.95207
230780157;11.17318436;11.17318436;179;17.95207
230780199;26.31578947;26.31578947;38;17.95207
240000059;9.345794393;18.69158879;107;17.95207
240000117;0;27.97202797;143;17.95207
240000190;15.01501502;3.003003003;333;17.95207
240000208;0;0;302;17.95207
240000216;4.694835681;0;426;17.95207
240000448;0;0;55;17.95207
250000015;35.48387097;19.35483871;310;17.95207
250000270;7.494646681;0;934;17.95207
250000452;6.802721088;10.20408163;294;17.95207
250011723;2.364066194;0;423;17.95207
250011848;9.661835749;2.415458937;414;17.95207
260000021;2.840909091;8.522727273;352;17.95207
260000047;4.329004329;12.98701299;231;17.95207
260000054;0;0;8;17.95207
260000104;0;76.92307692;13;17.95207
260000260;0;21.42857143;140;17.95207
260003017;7.662835249;5.747126437;522;17.95207
260016910;2.941176471;8.823529412;340;17.95207
270000060;0;8.849557522;113;17.95207
270000086;0;37.03703704;54;17.95207
270000326;5;5;200;17.95207
270000862;0;8.26446281;121;17.95207
270023724;4.098360656;8.196721311;244;17.95207
280000134;6.688963211;16.72240803;299;17.95207
280000159;12.08459215;0;331;17.95207
280000183;8.356545961;13.9275766;359;17.95207
280505777;0;16.94915254;59;17.95207
290000017;8.896797153;14.23487544;562;17.95207
290000041;12.82051282;51.28205128;78;17.95207
290000074;13.15789474;0;76;17.95207
290000140;3.407155026;3.407155026;587;17.95207
290000207;11.67315175;1.945525292;514;17.95207
290000215;0;3.095975232;323;17.95207
290000728;0;10.75268817;93;17.95207
290000785;4.016064257;8.032128514;249;17.95207
290019777;0;3.616636528;553;17.95207
290020700;0;5.602240896;357;17.95207
290021542;15.38461538;15.38461538;195;17.95207
290023431;0;0;198;17.95207
2A0000014;12.34567901;12.34567901;81;17.95207
2A0000139;0;15.07537688;199;17.95207
2A0000154;25;50;40;17.95207
2B0000160;12.34567901;12.34567901;162;17.95207
2B0000392;0;35.71428571;112;17.95207
300780038;1.700680272;5.102040816;588;17.95207
300780046;34.24657534;47.94520548;146;17.95207
300780053;7.575757576;37.87878788;132;17.95207
300780137;3.460207612;0;289;17.95207
300780152;64.93506494;3.246753247;308;17.95207
300780228;0;18.18181818;55;17.95207
300781465;0;6.535947712;153;17.95207
300788502;15.7480315;7.874015748;381;17.95207
310780101;53.65853659;14.63414634;205;17.95207
310780135;0;0;107;17.95207
310780150;24.3902439;0;1681;17.95207
310780283;54.07801418;9.75177305;1128;17.95207
310780309;41.66666667;6.944444444;144;17.95207
310780382;29.19708029;2.433090024;411;17.95207
310780671;68.70229008;7.633587786;131;17.95207
310781000;22.27722772;4.95049505;404;17.95207
310781067;13.84083045;3.460207612;289;17.95207
310781406;16.85985248;8.429926238;949;17.95207
310781505;13.88888889;4.62962963;216;17.95207
310782016;0;0;6;17.95207
320780067;8.403361345;0;119;17.95207
320780117;16.12903226;4.032258065;248;17.95207
330000340;0;5.934718101;337;17.95207
330027509;0;63.29113924;79;17.95207
330780115;7.299270073;7.299270073;137;17.95207
330780206;9.74025974;0;308;17.95207
330780255;0;0;448;17.95207
330780263;23.25581395;7.751937984;258;17.95207
330780271;11.38519924;0;527;17.95207
330780479;8.982035928;11.9760479;334;17.95207
330780495;0;0;159;17.95207
330780503;45.64315353;8.298755187;241;17.95207
330780511;13.27433628;0;226;17.95207
330780529;23.16602317;3.861003861;777;17.95207
330780537;72.28915663;12.04819277;166;17.95207
330781196;13.23529412;7.352941176;680;17.95207
330781204;9.090909091;54.54545455;110;17.95207
330781220;0;35.29411765;85;17.95207
330781253;27.98507463;13.05970149;536;17.95207
330781303;15.15151515;5.050505051;198;17.95207
330781402;16.94915254;0;177;17.95207
330782582;0;0;310;17.95207
340009885;0;7.604562738;263;17.95207
340011295;6.622516556;3.311258278;302;17.95207
340015965;0;7.712082262;389;17.95207
340780055;2.898550725;11.5942029;345;17.95207
340780139;0;0;377;17.95207
340780147;0;30.3030303;33;17.95207
340780154;0;0;75;17.95207
340780477;5.973715651;7.168458781;837;17.95207
340780634;1.923076923;0;520;17.95207
340780642;15.46391753;7.731958763;388;17.95207
340780667;19.23076923;9.615384615;312;17.95207
340780675;0;18.86792453;53;17.95207
340780683;13.21585903;1.468428781;681;17.95207
340780717;22.93577982;9.174311927;218;17.95207
340780741;0;0;98;17.95207
350000022;18.60465116;37.20930233;215;17.95207
350000030;0;12.82051282;78;17.95207
350000048;0;6.493506494;154;17.95207
350000055;0;0;150;17.95207
350000121;7.120253165;0.791139241;1264;17.95207
350000139;3.831417625;3.831417625;261;17.95207
350000196;49.38271605;0;324;17.95207
350002812;0;0;1;17.95207
350005146;13.5301353;2.4600246;813;17.95207
350005179;7.836990596;7.836990596;638;17.95207
360000053;0;18.23708207;329;17.95207
360000079;0;102.5641026;39;17.95207
360000129;0;0;327;17.95207
370000051;17.46724891;0;229;17.95207
370000085;2.949852507;8.849557522;339;17.95207
370000093;23.80952381;2.380952381;420;17.95207
370000481;7.058823529;0;425;17.95207
370000564;0;7.246376812;138;17.95207
370000614;9.433962264;9.433962264;106;17.95207
370007569;15.16919487;1.166861144;857;17.95207
380012658;12.69035533;0;394;17.95207
380780049;10.92896175;5.464480874;183;17.95207
380780080;24.03846154;16.82692308;832;17.95207
380780197;26.57004831;2.415458937;414;17.95207
380780270;0;0;199;17.95207
380780288;68;4;250;17.95207
380781435;80.97165992;20.24291498;247;17.95207
380781450;10.75268817;10.75268817;93;17.95207
380784751;38.46153846;6.41025641;156;17.95207
380785956;53.19148936;3.546099291;564;17.95207
380786442;15.24390244;1.524390244;656;17.95207
390780146;0;27.45098039;255;17.95207
390780161;9.900990099;0;101;17.95207
390780559;9.523809524;4.761904762;210;17.95207
390780575;4.484304933;0;223;17.95207
390780609;12.04819277;0;166;17.95207
400011177;0;0;238;17.95207
400780193;4.95049505;24.75247525;202;17.95207
400780284;45.64315353;4.149377593;241;17.95207
400780359;8.163265306;0;245;17.95207
400782769;0;0;93;17.95207
410000087;2.78551532;8.356545961;359;17.95207
410000103;26.31578947;17.54385965;114;17.95207
410000202;2.380952381;0;420;17.95207
410004998;2.551020408;5.102040816;392;17.95207
420002495;15.87301587;31.74603175;63;17.95207
420010050;7.06991359;1.571091909;1273;17.95207
420011413;9.920634921;9.920634921;504;17.95207
420013831;35.79952267;21.4797136;419;17.95207
420780033;71.09004739;14.21800948;211;17.95207
420780504;11.76470588;5.882352941;170;17.95207
420780652;64.93506494;38.96103896;77;17.95207
420782310;17.92114695;0;558;17.95207
420784878;10.66098081;6.396588486;469;17.95207
430000018;4.761904762;19.04761905;210;17.95207
430000034;7.299270073;7.299270073;137;17.95207
430000109;6.849315068;0;146;17.95207
440000057;1.945525292;15.56420233;514;17.95207
440000289;9.230769231;9.230769231;650;17.95207
440000297;90.27777778;0;144;17.95207
440000404;53.57142857;10.71428571;280;17.95207
440000412;4.504504505;0;222;17.95207
440002020;12.38390093;3.095975232;323;17.95207
440024982;9.259259259;0;324;17.95207
440029379;10.52631579;1.754385965;570;17.95207
440033819;6.255585344;1.787310098;1119;17.95207
440041580;5.488474204;4.390779363;911;17.95207
440050433;0;0;1;17.95207
450000088;33.74233129;0;326;17.95207
450000104;0;22.12389381;226;17.95207
450000229;0;0;147;17.95207
450000237;0;0;247;17.95207
450000245;3.968253968;1.984126984;504;17.95207
450000294;0;0;1;17.95207
450010079;23.64394993;1.390820584;719;17.95207
450012968;32.25806452;0;310;17.95207
460780083;11.69590643;5.847953216;171;17.95207
460780216;46.51162791;0;215;17.95207
470000027;2.915451895;14.57725948;343;17.95207
470000142;0;4.524886878;221;17.95207
470000316;8.571428571;0;350;17.95207
470000324;0;66.66666667;60;17.95207
470001660;0;6.006006006;333;17.95207
480780113;0;0;57;17.95207
490000031;0;5.681818182;704;17.95207
490000155;0;0;1;17.95207
490000676;10.23017903;17.9028133;391;17.95207
490002037;135.5932203;0;295;17.95207
490007929;54.24528302;7.075471698;424;17.95207
490014909;29.95391705;4.608294931;434;17.95207
490015906;63.35797254;0;947;17.95207
500000013;0;18.18181818;110;17.95207
500000054;6.060606061;12.12121212;165;17.95207
500000112;11.11111111;22.22222222;90;17.95207
500000146;21.81818182;0;275;17.95207
500000203;6.269592476;0;319;17.95207
500000401;6.779661017;0;295;17.95207
500002357;0;0;352;17.95207
510000029;33.03964758;17.62114537;454;17.95207
510000037;7.633587786;0;131;17.95207
510000060;0;15.87301587;63;17.95207
510000078;45.45454545;0;22;17.95207
510000185;29.33333333;1.333333333;750;17.95207
510000193;28.03738318;18.69158879;107;17.95207
510000227;12;4;250;17.95207
510000243;5.102040816;5.102040816;196;17.95207
510012040;123.0769231;0;390;17.95207
520780032;25.64102564;12.82051282;78;17.95207
520780073;0;13.51351351;148;17.95207
520780156;0;2.83286119;353;17.95207
520780180;60.81081081;0;148;17.95207
520780214;0;0;124;17.95207
530000025;0;19.73684211;152;17.95207
530000074;0;7.722007722;259;17.95207
530000371;50.25125628;40.20100503;199;17.95207
530031962;23.25581395;2.583979328;387;17.95207
540000049;6.802721088;13.60544218;147;17.95207
540000080;44.44444444;66.66666667;45;17.95207
540000361;109.8901099;0;273;17.95207
540000452;6.493506494;0;308;17.95207
540000478;0;5.813953488;172;17.95207
540000486;6.720430108;6.720430108;744;17.95207
540000767;7.407407407;0;135;17.95207
540002078;20.97902098;2.331002331;429;17.95207
540020112;6.535947712;1.307189542;765;17.95207
550000020;3.831417625;11.49425287;261;17.95207
550000178;37.17472119;5.576208178;538;17.95207
550003354;0;0;1;17.95207
560000044;6.51465798;22.80130293;307;17.95207
560002511;3.552397869;0;563;17.95207
560002933;0;0;326;17.95207
560005746;5.076142132;30.45685279;197;17.95207
560007510;0;2.169197397;461;17.95207
560008799;2.227171492;0;449;17.95207
560014748;0;0;90;17.95207
560023210;0;6.024096386;664;17.95207
570000083;1.757469244;0;569;17.95207
570000158;0;23.80952381;84;17.95207
570000216;8.928571429;35.71428571;112;17.95207
570000356;12;4;250;17.95207
570000364;7.90513834;7.90513834;253;17.95207
570000596;0;0;75;17.95207
570000646;3.773584906;18.86792453;265;17.95207
570005165;9.868421053;14.80263158;608;17.95207
570010181;0;33.33333333;60;17.95207
570015099;6.451612903;6.451612903;155;17.95207
570023630;11.10288675;0;1351;17.95207
570025254;0;15.625;64;17.95207
